line_item_id,sku,variant_id
10005140537515,6694476153003,39877784567979
10005145288875,6694476153003,39877784567979
10005746253995,6693303779499,39873084686507
10008230428843,6693303779499,39873084686507
10011142062251,6693303779499,39873084686507
10030556151979,6694476153003,39877784567979
10031234842795,6694476153003,39877784567979
10031471788203,6694476153003,39877784567979
10033047961771,6694476153003,39877784567979
10034157158571,6693303779499,39873084686507
10036726956203,6693303779499,39873084686507
10036789215403,6694476153003,39877784567979
10037603991723,6693303779499,39873084686507
10040742477995,6693303779499,39873084686507
10043707785387,6694476153003,39877784567979
10045348937899,6693303779499,39873084686507
10045452877995,6693303779499,39873084686507
10045708271787,6693303779499,39873084686507
10048367165611,6694476153003,39877784567979
10048552140971,6693303779499,39873084686507
10049746600107,6694476153003,39877784567979
10052611539115,6693303779499,39873084686507
10056359903403,6693303779499,39873084686507
10059979882667,6693303779499,39873084686507
10060060065963,6694476153003,39877784567979
10064787013803,6694476153003,39877784567979
10068245577899,6694476153003,39877784567979
10069523234987,6694476153003,39877784567979
10071869423787,6694476153003,39877784567979
10077695312043,6694476153003,39877784567979
10078609670315,6693303779499,39873084686507
10079322636459,6693303779499,39873084686507
10081624490155,6694476153003,39877784567979
10081947287723,6693303779499,39873084686507
10085424005291,6694476153003,39877784567979
10085533515947,6694476153003,39877784567979
10088889876651,6694476153003,39877784567979
10088890007723,6694476153003,39877784567979
10090385899691,6694476153003,39877784567979
10095700246699,6694476153003,39877784567979
10097803460779,6693303779499,39873084686507
10098151489707,6694476153003,39877784567979
10101502640299,6693303779499,39873084686507
10101606088875,6693303779499,39873084686507
10101692596395,6694476153003,39877784567979
10102721511595,6693303779499,39873084686507
10102872834219,6694476153003,39877784567979
10109936369835,6694476153003,39877784567979
10110890770603,6693303779499,39873084686507
10111801917611,6694476153003,39877784567979
10116868112555,6693303779499,39873084686507
10119226294443,6694476153003,39877784567979
10125120143531,6693303779499,39873084686507
10125340115115,6694476153003,39877784567979
10138237829291,6694476153003,39877784567979
10146987770027,6694476153003,39877784567979
10150370738347,6694476153003,39877784567979
10152644051115,6694476153003,39877784567979
10155076747435,6694476153003,39877784567979
10176999293099,6694476153003,40666666926251
10184453292203,6693303779499,39873084686507
10188061245611,6694476153003,40666666926251
10204623503531,6694476153003,40666666959019
10204642345131,6693303779499,39873084686507
10208091668651,6694476153003,40666666926251
10209337114795,6693303779499,39873084686507
10209355104427,6693303779499,39873084686507
10209570750635,6694476153003,40666666926251
10211270820011,6693303779499,39873084686507
10211430170795,6693303779499,39873084686507
10215530561707,6693303779499,39873084686507
10224164634795,6693303779499,39873084686507
10224344531115,6693303779499,39873084686507
10232558157995,6693303779499,39873084686507
10233222332587,6693303779499,39873084686507
10233249267883,6694476153003,40666666959019
10237180018859,6693303779499,39873084686507
10243066429611,6694476153003,40666666926251
10256966025387,6694476153003,40666666926251
10259605455019,6693303779499,39873084686507
10260909326507,6693303779499,39873084686507
10262734962859,6693303779499,39873084686507
10262877536427,6694476153003,40666666926251
10268359327915,6693303779499,39873084686507
10270514282667,6693303779499,39873084686507
10278984843435,6693303779499,39873084686507
10282978050219,6693303779499,39873084686507
10284965167275,6693303779499,39873084686507
10288368812203,6693303779499,39873084686507
10290421301419,6693303779499,39873084686507
10291928694955,6694476153003,40666666959019
10293230698667,6694476153003,40666666926251
10303715901611,6693303779499,39873084686507
10304740294827,6693303779499,39873084686507
10307843948715,6693303779499,39873084686507
10314728997035,6693303779499,39873084686507
10320731635883,6693303779499,39873084686507
10341940723883,6693303779499,39873084686507
10345442345131,6693303779499,39873084686507
10348382191787,6693303779499,39873084686507
10385504567467,6693303779499,39873084686507
10394980679851,6693303779499,39873084686507
10429131784363,6693303779499,39873084686507
10438374621355,6693303779499,39873084686507
10445204422827,6693303779499,39873084686507
10450320588971,6693303779499,39873084686507
10453139685547,6693303779499,39873084686507
10461056008363,6693303779499,39873084686507
10465675968683,6693303779499,39873084686507
10466070233259,6693303779499,39873084686507
10466935439531,6693303779499,39873084686507
10467016442027,6693303779499,39873084686507
10471747977387,6693303779499,39873084686507
10476115460267,6693303779499,39873084686507
10477375324331,6693303779499,39873084686507
10479587885227,6693303779499,39873084686507
10485677293739,6693303779499,39873084686507
10494117347499,6693303779499,39873084686507
10497028358315,6693303779499,39873084686507
10498940469419,6693303779499,39873084686507
10499319038123,6693303779499,39873084686507
10522279182507,6693303779499,39873084686507
10540890063019,6693303779499,39873084686507
10544964141227,6693303779499,39873084686507
10546424512683,6693303779499,39873084686507
10557062545579,6693303779499,39873084686507
10561363968171,6693303779499,39873084686507
10565087264939,6693303779499,39873084686507
10566118539435,6693303779499,39873084686507
10566509920427,6693303779499,39873084686507
