order_id,line_item_id,sales_type,sku,product_name
4274381947051,10737050878123,order,6693303779499,Annual Plan
4272816914603,10733720830123,order,6693303779499,Annual Plan
4270352433323,10728225931435,order,6693303779499,Annual Plan
4267692982443,10722765832363,order,6693303779499,Annual Plan
4265401286827,10717850239147,order,6693303779499,Annual Plan
4262734299307,10712132649131,order,6693303779499,Annual Plan
4261914312875,10710349971627,order,6693303779499,Annual Plan
4258044084395,10702440792235,order,6693303779499,Annual Plan
4253688004779,10693516230827,order,6693303779499,Annual Plan
4251017216171,10688092242091,order,6693303779499,Annual Plan
4245426700459,10676632879275,order,6693303779499,Annual Plan
4243466977451,10672542285995,order,6693303779499,Annual Plan
4240208527531,10665842737323,order,6693303779499,Annual Plan
4229832671403,10645629173931,order,6693303779499,Annual Plan
4227584983211,10641266278571,order,6693303779499,Annual Plan
4211701285035,10611726221483,order,6693303779499,Annual Plan
4209386193067,10607456977067,order,6693303779499,Annual Plan
4203670044843,10597011882155,order,6693303779499,Annual Plan
4200707981483,10591574720683,order,6693303779499,Annual Plan
4198161252523,10586958233771,order,6693303779499,Annual Plan
4187012071595,10566509920427,order,6693303779499,Annual Plan
4175726772395,10544964141227,order,6693303779499,Annual Plan
4142808039595,10477375324331,order,6693303779499,Annual Plan
4137730310315,10467016442027,order,6693303779499,Annual Plan
4137277784235,10466070233259,order,6693303779499,Annual Plan
4129473593515,10450320588971,order,6693303779499,Annual Plan
4095220121771,10385504567467,order,6693303779499,Annual Plan
4073431761067,10348382191787,order,6693303779499,Annual Plan
4069533384875,10341940723883,order,6693303779499,Annual Plan
4047689154731,10304740294827,order,6693303779499,Annual Plan
4035667919019,10284965167275,order,6693303779499,Annual Plan
4032335151275,10278984843435,order,6693303779499,Annual Plan
4027121664171,10270514282667,order,6693303779499,Annual Plan
4023329259691,10262877536427,order,6694476153003,Per Item Membership
4022066708651,10260909326507,order,6693303779499,Annual Plan
4006838206635,10233249267883,order,6694476153003,Per Item Membership
4006468845739,10232558157995,order,6693303779499,Annual Plan
4001740259499,10224344531115,order,6693303779499,Annual Plan
3991924670635,10208091668651,order,6694476153003,Per Item Membership
3961557975211,10152644051115,order,6694476153003,Per Item Membership
3941931155627,10119226294443,order,6694476153003,Per Item Membership
3932126576811,10101692596395,order,6694476153003,Per Item Membership
3929709641899,10097803460779,order,6693303779499,Annual Plan
3928624791723,10095700246699,order,6694476153003,Per Item Membership
3925532967083,10090385899691,order,6694476153003,Per Item Membership
3922577064107,10085533515947,order,6694476153003,Per Item Membership
3920317710507,10081624490155,order,6694476153003,Per Item Membership
3902106435755,10049746600107,order,6694476153003,Per Item Membership
3899834892459,10045708271787,order,6693303779499,Annual Plan
3898649542827,10043707785387,order,6694476153003,Per Item Membership
3896972411051,10040742477995,order,6693303779499,Annual Plan
3895144513707,10037603991723,order,6693303779499,Annual Plan
3891444711595,10031234842795,order,6694476153003,Per Item Membership
3878569672875,10008230428843,order,6693303779499,Annual Plan
3877170643115,10005746253995,order,6693303779499,Annual Plan
3869333913771,9991171047595,order,6694476153003,Per Item Membership
3864107679915,9981294641323,order,6694476153003,Per Item Membership
3858543116459,9972247756971,order,6693303779499,Annual Plan
3839778816171,9937560076459,order,6693303779499,Annual Plan
3836982657195,9932741804203,order,6693303779499,Annual Plan
3828151845035,9916734636203,order,6694476153003,Per Item Membership
3820959924395,9904050700459,order,6693303779499,Annual Plan
3818254368939,9899205230763,order,6693303779499,Annual Plan
3818130374827,9898957602987,order,6694476153003,Per Item Membership
3814632456363,9892122755243,order,6693303779499,Annual Plan
3805053616299,9873985175723,order,6694476153003,Per Item Membership
3932013494443,10101502640299,return,6693303779499,Annual Plan
3877170643115,10005746253995,return,6693303779499,Annual Plan
