,ID Nation,Nation,ID Year,Year,Population,Slug Nation
0,01000US,United States,2013,2013,311536594,united-states
1,01000US,United States,2014,2014,314107084,united-states
2,01000US,United States,2015,2015,316515021,united-states
3,01000US,United States,2016,2016,318558162,united-states
4,01000US,United States,2017,2017,321004407,united-states
5,01000US,United States,2018,2018,322903030,united-states
6,01000US,United States,2019,2019,324697795,united-states
7,01000US,United States,2020,2020,326569308,united-states
